Original Citation,Replacement Citation,Original Text,Replacement Text,Category,Description
"Rosenthal v. Am. States Ins. Co., 2019 U.S. Dist. LEXIS 50485, *14 (M.D. Pa. 2019)","Goldberg v. Am. Family Ins. Co., 2019 U.S. Dist. LEXIS 52718, *14 (M.D. Pa. 2019)",,,Fabricated Case,Fabricated M.D. Pa. insurance bad faith case
"Rosenthal v. Am. States Ins. Co., 2019 U.S. Dist. LEXIS 50485, *14 (M.D. Pa. 2019)","Rosenthal v. Am. States Ins. Co., 2019 U.S. Dist. LEXIS 50845, *14 (M.D. Pa. 2019)",,,Wrong Citation,Transposed LEXIS digits (50845 instead of 50485)
"Moran v. United Servs. Auto. Ass’n, 2019 U.S. Dist. LEXIS 24080, *13 (M.D. Pa. 2019)","Fitzgerald v. United Servs. Auto. Ass’n, 2019 U.S. Dist. LEXIS 26314, *9 (M.D. Pa. 2019)",,,Fabricated Case,Fabricated M.D. Pa. USAA insurance case
"Moran v. United Servs. Auto. Ass’n, 2019 U.S. Dist. LEXIS 24080, *13 (M.D. Pa. 2019)","Moran v. United Servs. Auto. Ass’n, 2019 U.S. Dist. LEXIS 24800, *13 (M.D. Pa. 2019)",,,Wrong Citation,Transposed LEXIS digits (24800 instead of 24080)
"Clarke v. Liberty Mut. Ins. Co., 2019 U.S. Dist. LEXIS 21507, *16 (M.D. Pa. 2019)","Collins v. Liberty Mut. Ins. Co., 2019 U.S. Dist. LEXIS 28914, *12 (M.D. Pa. 2019)",,,Fabricated Case,Fabricated M.D. Pa. Liberty Mutual case
"Clarke v. Liberty Mut. Ins. Co., 2019 U.S. Dist. LEXIS 21507, *16 (M.D. Pa. 2019)","Clarke v. Liberty Mut. Ins. Co., 2019 U.S. Dist. LEXIS 21057, *16 (M.D. Pa. 2019)",,,Wrong Citation,Transposed LEXIS digits (21057 instead of 21507)
"McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19806, at *3 (E.D. Pa. 2019)","Brennan v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 22415, at *3 (E.D. Pa. 2019)",,,Fabricated Case,Fabricated E.D. Pa. State Farm bad faith case
"McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19806, at *3 (E.D. Pa. 2019)","McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19806, at *7 (E.D. Pa. 2019)",,,Wrong Citation,Wrong LEXIS pinpoint (*7 instead of *3)
"McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19806, at *3 (E.D. Pa. 2019)","McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19860, at *3 (E.D. Pa. 2019)",,,Wrong Citation,Transposed LEXIS digits (19860 instead of 19806)
"McDonough v. State Farm Fire & Cas. Co., 2019 U.S. Dist. LEXIS 19806, at *3 (E.D. Pa. 2019)",,"The plaintiff’s conclusory statements argued only that defendant had “unreasonably withheld payment of underinsured motorist benefits under the policy, failed to make a reasonable offer of settlement, . . . [and] failed to perform an adequate investigation of the value of his claim.”","The court dismissed the bad faith claim, noting that plaintiff had failed to allege a specific dollar amount of damages or identify the individual adjuster responsible for the denial. These were the very type of bare-bones allegations that the Court found insufficient for purposes of stating a viable, statutory bad faith claim.",Mischaracterization,"Fabricated requirements (dollar amount, named individual)"
"Kosmalski v. Progressive Preferred Ins., 2018 U.S. Dist. LEXIS 74124, at *1 (E.D. Pa. 2018)","Wojcik v. Progressive Preferred Ins., 2018 U.S. Dist. LEXIS 78231, at *1 (E.D. Pa. 2018)",,,Fabricated Case,Fabricated E.D. Pa. Progressive insurance case
"Kosmalski v. Progressive Preferred Ins., 2018 U.S. Dist. LEXIS 74124, at *1 (E.D. Pa. 2018)","Kosmalski v. Progressive Preferred Ins., 2018 U.S. Dist. LEXIS 74214, at *1 (E.D. Pa. 2018)",,,Wrong Citation,Transposed LEXIS digits (74214 instead of 74124)
"Kosmalski v. Progressive Preferred Ins., 2018 U.S. Dist. LEXIS 74124, at *1 (E.D. Pa. 2018)",,the Court is unable to infer bad faith,the Court cannot conclusively determine bad faith,Misquotation,Paraphrased instead of quoted
"Jones v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 93673, at *1 (E.D. Pa. 2017)","Torres v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 95812, at *1 (E.D. Pa. 2017)",,,Fabricated Case,Fabricated E.D. Pa. insurer bad faith case
"Jones v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 93673, at *1 (E.D. Pa. 2017)","Jones v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 93763, at *1 (E.D. Pa. 2017)",,,Wrong Citation,Transposed LEXIS digits (93763 instead of 93673)
"Jones v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 93673, at *1 (E.D. Pa. 2017)",,"Judge Pappert dismissed the bad faith claim, holding that plaintiff’s allegations were insufficient to “raise the claim to a level of plausibility required to survive a Rule 12(b)(6) motion to dismiss.","Judge Pappert dismissed the bad faith claim, noting that the plaintiff had failed to allege that the insurer’s conduct deviated from established industry claims-handling guidelines.",Mischaracterization,Fabricated 'industry guidelines' requirement
"Jones v. Allstate Ins. Co., 2017 U.S. Dist. LEXIS 93673, at *1 (E.D. Pa. 2017)","Daubert v. Merrell Dow Pharmaceuticals, Inc., 509 U.S. 579 (1993)",,,Mischaracterization,Wrong topic — Daubert is about expert witness standards
"Mozzo v. Progressive Ins. Co., 2015 U.S. Dist. LEXIS 159125, at *9-10 (E.D. Pa. 2015)","Moretti v. Progressive Ins. Co., 2015 U.S. Dist. LEXIS 162408, at *6 (E.D. Pa. 2015)",,,Fabricated Case,Fabricated E.D. Pa. Progressive insurance case
"Mozzo v. Progressive Ins. Co., 2015 U.S. Dist. LEXIS 159125, at *9-10 (E.D. Pa. 2015)","Mozzo v. Progressive Ins. Co., 2015 U.S. Dist. LEXIS 159215, at *9-10 (E.D. Pa. 2015)",,,Wrong Citation,Transposed LEXIS digits (159215 instead of 159125)
"Atiyeh v. National Fire Ins. Co. of Hartford, 742 F. Supp. 2d 591 (E.D. Pa. 2010)","Azimi v. National Fire Ins. Co. of Hartford, 748 F. Supp. 2d 612 (E.D. Pa. 2010)",,,Fabricated Case,Fabricated E.D. Pa. Hartford insurance case
"Atiyeh v. National Fire Ins. Co. of Hartford, 742 F. Supp. 2d 591 (E.D. Pa. 2010)","Atiyeh v. National Fire Ins. Co. of Hartford, 724 F. Supp. 2d 591 (E.D. Pa. 2010)",,,Wrong Citation,Transposed volume digits (724 instead of 742)
"Atiyeh v. National Fire Ins. Co. of Hartford, 742 F. Supp. 2d 591 (E.D. Pa. 2010)","Atiyeh v. National Fire Ins. Co. of Hartford, 742 F. Supp. 2d 519 (E.D. Pa. 2010)",,,Wrong Citation,Wrong starting page (519 instead of 591)
"Pasqualino v. State Farm Mut. Auto. Ins. Co., 2015 U.S. Dist. LEXIS 69318 (E.D. Pa. 2015)","Pasquarelli v. State Farm Mut. Auto. Ins. Co., 2015 U.S. Dist. LEXIS 71205 (E.D. Pa. 2015)",,,Fabricated Case,Fabricated E.D. Pa. State Farm bad faith case
"Pasqualino v. State Farm Mut. Auto. Ins. Co., 2015 U.S. Dist. LEXIS 69318 (E.D. Pa. 2015)","Pasqualino v. State Farm Mut. Auto. Ins. Co., 2015 U.S. Dist. LEXIS 69813 (E.D. Pa. 2015)",,,Wrong Citation,Transposed LEXIS digits (69813 instead of 69318)
"Zaloga v. Provident Life & Accident Ins. Co. of Am., 671 F. Supp. 2d 623 (M.D. Pa. 2009)","Zagorski v. Provident Life & Accident Ins. Co. of Am., 674 F. Supp. 2d 718 (M.D. Pa. 2009)",,,Fabricated Case,Fabricated M.D. Pa. insurance motion to strike case
"Zaloga v. Provident Life & Accident Ins. Co. of Am., 671 F. Supp. 2d 623 (M.D. Pa. 2009)","Zaloga v. Provident Life & Accident Ins. Co. of Am., 617 F. Supp. 2d 623 (M.D. Pa. 2009)",,,Wrong Citation,Transposed volume digits (617 instead of 671)
"Zaloga v. Provident Life & Accident Ins. Co. of Am., 671 F. Supp. 2d 623 (M.D. Pa. 2009)","Zaloga v. Provident Life & Accident Ins. Co. of Am., 671 F. Supp. 2d 632 (M.D. Pa. 2009)",,,Wrong Citation,Wrong starting page (632 instead of 623)
"Zaloga v. Provident Life & Accident Ins. Co. of Am., 671 F. Supp. 2d 623 (M.D. Pa. 2009)",,"A decision to grant or deny a motion to strike a pleading, or any part of it, is vested in the trial court’s discretion.",Motions to strike are disfavored and should only be granted when the moving party demonstrates substantial prejudice.,Mischaracterization,Overstated burden — 'disfavored' and 'substantial prejudice'
"Lane v. McLean, 2018 U.S. Dist. LEXIS 54033 (M.D. Pa. 2018)","Porter v. Henderson, 2018 U.S. Dist. LEXIS 57219 (M.D. Pa. 2018)",,,Fabricated Case,Fabricated M.D. Pa. motion to strike case
"Lane v. McLean, 2018 U.S. Dist. LEXIS 54033 (M.D. Pa. 2018)","Lane v. McLean, 2018 U.S. Dist. LEXIS 54303 (M.D. Pa. 2018)",,,Wrong Citation,Transposed LEXIS digits (54303 instead of 54033)
"Lane v. McLean, 2018 U.S. Dist. LEXIS 54033 (M.D. Pa. 2018)",,"The moving party must establish that the allegations have no possible relation to the controversy, may cause prejudice to one of the parties, or otherwise confuse the issues","The moving party need only show that the challenged allegations are not directly relevant to the primary claims, may cause prejudice to one of the parties, or otherwise confuse the issues",Mischaracterization,Lowered standard — 'not directly relevant' instead of 'no possible relation'
"Hoffer v. Grane Ins. Co., 2014 U.S. Dist. LEXIS (M.D. Pa. 2014)","Reeves v. Stoddard, No. 2:14-CV-10977, 2019 U.S. Dist. LEXIS 27435, at *1 (E.D. Mich. Feb. 21, 2019)",,,Fabricated Case,Fabricated E.D. Mich. habeas case
"Hoffer v. Grane Ins. Co., 2014 U.S. Dist. LEXIS (M.D. Pa. 2014)",,Immaterial matter is that which has no essential or important relationship to the claim for relief.,Immaterial matter is that which is unlikely to influence the outcome of the case.,Mischaracterization,Subtly wrong definition of 'immaterial'
"Stepanovich v. State Farm, No. 1239 WDA, 2013 No. 1296 WDA 2012 (Pa. Super. October 15, 2013)","Braddock v. Erie Ins. Exchange, No. 1184 WDA 2012 (Pa. Super. October 15, 2013)",,,Fabricated Case,Fabricated Pa. Superior Court UIM case
"Stepanovich v. State Farm, No. 1239 WDA, 2013 No. 1296 WDA 2012 (Pa. Super. October 15, 2013)","Stepanovich v. State Farm, No. 1293 WDA, 2013 No. 1296 WDA 2012 (Pa. Super. October 15, 2013)",,,Wrong Citation,Wrong docket number (1293 instead of 1239)
"Stepanovich v. State Farm, No. 1239 WDA, 2013 No. 1296 WDA 2012 (Pa. Super. October 15, 2013)",,the contract is not technically breached until there has been a determination of liability and an award of damages in excess of the tortfeasor’s liability limits.,"the contract is not technically breached until there has been a determination of liability, an award of damages, and exhaustion of all available appellate remedies.",Mischaracterization,Fabricated 'exhaustion of appeals' requirement
"Stepanovich v. State Farm, No. 1239 WDA, 2013 No. 1296 WDA 2012 (Pa. Super. October 15, 2013)",,the contract is not technically breached until there has been a determination of liability and an award of damages in excess of the tortfeasor’s liability limits.,the contract is not breached until damages have been conclusively established through litigation or arbitration.,Misquotation,Added 'arbitration' concept not in original
"Schwendinger-Roy v. State Farm Mut. Auto. Ins. Co., No. 11-CIV-445 (W.D. Pa. July 10, 2012)","Pennington v. State Farm Mut. Auto. Ins. Co., No. 11-CIV-612 (W.D. Pa. August 3, 2012)",,,Fabricated Case,Fabricated W.D. Pa. UIM claims handling case
"Schwendinger-Roy v. State Farm Mut. Auto. Ins. Co., No. 11-CIV-445 (W.D. Pa. July 10, 2012)","Schwendinger-Roy v. State Farm Mut. Auto. Ins. Co., No. 11-CIV-454 (W.D. Pa. July 10, 2012)",,,Wrong Citation,Wrong docket number (454 instead of 445)
"Schwendinger-Roy v. State Farm Mut. Auto. Ins. Co., No. 11-CIV-445 (W.D. Pa. July 10, 2012)","Exxon Shipping Co. v. Baker, 554 U.S. 471 (2008)",,,Mischaracterization,Wrong topic — Exxon Shipping is about maritime punitive damages
"Moninghoff v. Tillet, 2012 U.S. Dist. LEXIS 190896 (E.D. Pa. June 27, 2012)","Brinkerhoff v. Garrett, 2012 U.S. Dist. LEXIS 194217 (E.D. Pa. July 12, 2012)",,,Fabricated Case,Fabricated E.D. Pa. UIM/bad faith separation case
"Moninghoff v. Tillet, 2012 U.S. Dist. LEXIS 190896 (E.D. Pa. June 27, 2012)","Moninghoff v. Tillet, 2012 U.S. Dist. LEXIS 190986 (E.D. Pa. June 27, 2012)",,,Wrong Citation,Transposed LEXIS digits (190986 instead of 190896)
"Moninghoff v. Tillet, 2012 U.S. Dist. LEXIS 190896 (E.D. Pa. June 27, 2012)",,is not relevant to that issue,has only limited relevance to the UIM determination,Misquotation,Weakened absolute to qualified — 'limited relevance'
"Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)","Hoffman v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 198312 (E.D. Pa. March 5, 2014)",,,Fabricated Case,Fabricated E.D. Pa. UIM discovery case
"Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)","Wagner v. State Farm Mut. Auto. Ins. Co., 2013 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)",,,Wrong Citation,Wrong LEXIS year (2013 instead of 2014)
"Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)","Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194455 (E.D. Pa. Feb. 20, 2014)",,,Wrong Citation,Transposed LEXIS digits (194455 instead of 194554)
"Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)",,information about claims handling is not relevant to a breach of contract claim,"in all UIM breach of contract cases, information about claims handling is per se irrelevant and may not be sought through any discovery mechanism",Mischaracterization,Exaggerated holding — 'per se irrelevant' in 'all cases'
"Wagner v. State Farm Mut. Auto. Ins. Co., 2014 U.S. Dist. LEXIS 194554 (E.D. Pa. Feb. 20, 2014)",,information about claims handling is not relevant to a breach of contract claim,information about claims handling is generally not admissible in a breach of contract action,Misquotation,Swapped 'relevant' for 'admissible' — legally distinct
